,0
46,"The principle that in all actions relating to children () the child's best interests must be a primary consideration (Article 24(2) EU Charter of Fundamental Rights) is widely applied by the Court of Justice of the European Union (CJEU). This article considers preliminary rulings in which the CJEU had recourse to the best interests of the child as the criterion for settling the dispute in the main proceeding. For analytical purposes, these cases may be grouped in two clusters: cases resembling child custody disputes, and other cases. It is argued that, in the light of the varied factual circumstances of the judicial disputes, the application of the criterion of best interests of the child as primary consideration warrants further scrutiny. To this end, this article identifies and assesses a practical and a conceptual challenge to the widespread application of the criterion. The former posits that the criterion is indeterminate, and this article considers whether drawing from Article 3 of the Convention on the Right of the Child may help in solving the uncertainty; the latter maintains that the test is unjust and self-defying, a critique that this article finds only partially founded, for cases resembling child custody disputes.
"
47,"Temporariness of refugee protection has started to emerge as a new standard in the policies of European countries. Given this development, the article focuses on one specific issue related to this temporariness: how refugee status intertwines with the conditions for the granting, revocation and prolongation of national residence permits. What are the interconnections between refugee status, including its cessation and revocation, on the one hand, and national residence permits and their revocation and prolongation, on the other? How are these interconnections regulated by international law, EU law and national law (with Sweden as an example)? Inaddition to the detailed analysis of the relevant legal norms, the article situates the questions within a more general discussion about residence in the national community. In this way, it is shown how temporariness creates tensions at national level where the refugee qua resident in the national community, benefits from safeguards in favour of individual certainty. This explains why residence permits, as opposed to refugee status, have central organizing role at national level.
"
48,"Based on the guidelines issued by the European Securities and Market Authority and by the European Banking Authority, the article deals with the legal qualification of blockchain-based crypto-assets under EU law. Focusing on crypto-assets that function as a) investment instruments (that is, investment tokens) and as b) electronic money (that is, payment tokens), the work outlines shortages and drawbacks in the applicability and enforcement of existing EU legal frameworks regulating investment activities and payment services. With such analysis, the article seeks to inform the ongoing debate within European institutions on the need of regulatory intervention in this area, and it points out pressing questions to be tackled by further research.
"
49,"This article examines, within Chinas complex healthcare sector, the extent to which Chinas legal frameworks can adapt to a data-driven context that requires the reconciliation of public and private interests for the use of health data. Current data-processing mechanisms operate through individual consent, and administrative authorisation in mobile health settings are insufficient and ineffective to meet societal needs while simultaneously protecting individuals interests. In light of this shift of regulation from individual control to collective governance, this article argues that the principle of the right to health may complement this collective governance model. The right to health principle emphasises solidarity, justice, confidentiality, and collective responsibility, which may balance power asymmetries in the use of health data among different stakeholders. The article proposes a solution that incorporates the states obligation with private actors responsibilities, while stressing the importance of data sharing and the fair use of health data.
"
50,"In 2018, Australian paramedics entered the National Registration and Accreditation Scheme for Health Practitioners. The scheme represented a significant change in the way paramedics were regulated and able to self-identify. Equally, it brought substantial changes to the individual accountability and responsibilities of practitioners. Response to these reforms was largely positive; however, diverse views existed on the intent and impacts of the scheme. Paramedics were surveyed immediately before registration commencement to examine their views concerning the new regulatory framework. Supportive views included acknowledgement of regulations public safety function and potential advancement of the profession. Dissenting views predicted increased practitioner risk and degradation of working conditions. Importantly, this study explores how members of the same profession can have diverse views of the same regulatory scheme. This study supports the notion that paramedicine consists of diverse subcultures with differing worldviews. This presents challenges in ensuring cohesive professional engagement with regulation and the evolution of the profession.
"
51,"This article assesses the regulatory framework relating to over-the-counter (OTC) sales of antibiotics for human use in India. The OTC sale of antibiotics is recognised as a pathway for the emergence of antimicrobial resistance (AMR); a serious public health challenge in need of urgent regulatory responses. Analytically, this article identifies opportunities within existing laws in India and highlights gaps that need to be filled by modifying existing laws or developing new ones. Conceptually, it suggests a need to reflect on the limits of traditional, top-down, command-and control regulation and to think about alternative approaches. The article therefore advocates for an approach to regulation that incorporates two elements. First, it argues for a broader concept of regulation that encompasses binding as well as non-binding regulatory instruments and initiatives aimed at influencing stakeholder behaviour (including soft regulation, economic incentives, information campaigns and uses of technology). Second, it makes the case for enhanced stakeholder participation in regulatory design. The article will be relevant for health policy and drug regulators in India and other low- and middle-income countries, as well as legal scholars, social scientists and others interested in the regulation of OTC sales of antibiotics for AMR containment.
"
52,"COVID-19 has significantly impacted all aspects of maternity services in the United Kingdom, exacerbating the fact that choice is insufficiently centred within the maternity regime. In this article, we focus on the restrictions placed on homebirthing services by some National Health Service Trusts in response to the virus. In March 2020, around a third of Trusts implemented blanket policies suspending their entire homebirth service. We argue that the failure to protect choice about place of birth during the pandemic may not only be harmful to birthing peoples physical and mental health, but also that it is legally problematic as it may, in some instances, breach human rights obligations. We also voice concerns about the possibility that in the absence of available homebirthing services people might choose to freebirth. While freebirthing (birthing absent any medical or midwifery support) is not innately problematic, it is concerning that people may feel forced to opt for this.
"
53,"The modern, global food system is unsustainable for both human and planetary health. The widespread consumption of highly processed foods and use of production systems that negatively affect the environment have led to a rise in nutrition-related diseases and exacerbated the effects of climate change. A comprehensive reform of global food systems and diets is needed to effectively respond to this problem, but the interference of food industry actors in health negotiations is diluting health policies at both domestic and international levels. This article establishes the concrete value of international legal responses grounded in human rights for tackling the global syndemic of climate change and malnutrition. The Framework Convention on Tobacco Control (FCTC) exemplifies how normative conflicts between the trade and health regimes can be overcome. Forming an effective and egalitarian response to malnutrition and climate change will require a rights-based, regime interaction approach that prioritizes human and planetary health over private interests.
"
54,"Noting that 2022 marked the 45th anniversary of the Additional Protocols to the 1949 Geneva Conventions  the first treaties that explicitly noted the relationship between international human rights law and international humanitarian law - this column reflects on how the relationship between these two bodies of law has developed since 1977. It demonstrates that while much progress has been made internationally towards understanding the relationship between two bodies of law, there are still obstacles to be overcome if the goal is to apply the two bodies of law in a complementary fashion and achieve the maximum protection of the human person.
"
55,"Black Lives Matter is having a profound impact on how individuals and communities view their repressive histories and their present environments. The movement has greatly influenced the questioning of everyday landscapes and the role of official memory in the erection, maintenance, or removal of monuments and memorials. In this column, I shed light on these phenomena, and highlight the tensions that exist between the acknowledgement and removal of racist or problematic memorials and statues and the protection of historical monuments and cultural heritage more generally. A human rights approach to memorialization would be a step in the right direction, while recognizing that the imperatives of the present shape memorialization efforts. It calls on those in the human rights field to continue pressing for critical reflection and debate around racism and memory landscapes, and to call out and expose racism in all of its forms in order to bring about social change.
"
56,"On 14 June 2018, Russias national football team will play against Saudi Arabia for the opening match of this years football World Cup held in Russia. In the subsequent month, more than 3 billion people are expected to follow this mega-sporting event (MSE) on television.1 What the people behind their screens will see are state-of-the-art stadiums with the newest technology, each costing hundreds of millions of dollars.2 What most of the viewers are not aware of, however, is that during the building of these stadiums tens of thousands of workers were exposed to severe human rights violations.3 Human Rights Watch (HRW) and other human rights groups documented the structural exploitation of workers, including non-payment or severe delays in payment of wages, working in unsafe conditions leading to injuries, and the death of 17 workers, as well as forced illegal work due to lack of employment contracts and other documentation.4 Lack of proof of any employment relation made it extremely difficult for workers to complain about these exploitative practices. If workers managed to file a complaint, they were threatened by their employers with retaliation and non-payment of wages.5 Journalists and human rights advocates who tried to investigate and report on these conditions have been working under constant suspicion and intimidation. Journalists have been arrested during their investigations, held in detention and faced with criminal charges.6
"
57,"Lenin said, We do not regard Marxs theory as something completed and inviolable; on the contrary, we are convinced that it has only laid the foundation stone of the science which socialists must develop in all directions if they wish to keep pace with life. Marx himself believed in the principle of ruthless criticism of everything existing. Critiquing and revising certain ideas to strengthen an approach to society is a constructive act. But the legitimate act of revision becomes revision-ism, when the fundamental tenets of Marxism are revised in order to attack  negate  its very explanatory or scientific foundation and to justify political reformism. Indeed, since Lenins time, scientific socialism has been under attack from not only the ruling class and its ideologues, but also those who associate themselves with Marxism itself, including in academia. The latter are revisionist Marxists. For them, Marxism has some usefulness. But they deny the superiority of Marxism as a way of critically and scientifically interpreting the world and transforming that world in the interest of the exploited and oppressed masses in a revolutionary socialist manner. This denial of Marxisms superiority takes the form of the denial of Marxisms central concepts: class and capitalism. The article discusses, and critiques, various forms of revisionist Marxism (e.g. Analytical Marxism, Polanyian Marxism, Post-Modernist Marxism, and Geographical Marxism). Revisionism does respond to some recent developments in the world (e.g. the defeat of class-based movements; the complexity of class structure), but it seeks to explain these not on the basis of Marxist foundations but on the basis of scientifically inadequate ideas and in a manner that is politically reformist.
"
58,"There are at least five obstacles to the viability of ideology critique as a method of analysis in current conditions: (1) there is no ideology-free, Gods-eye view through which the critical theorist can analyze other ideologies; (2) few people really believe in explicit ideological justifications for exploitation and domination today, a widespread skepticism that could annul the warrant for ideology critique; (3) conspiracy theories and identity politics have superseded more universalistic and structural forms of critique, which, due to their real and superficial similarities with ideology critique, represent troublesome competitors; (4) ecological degradation is undermining the possibility of the free future that ideology critique implicitly anticipates; and (5) due to the decline of radical labor movements and near-absolute control of consciousness by the culture industry, the audience for ideology critique is so small and distracted that thoughtful, written analyses of ideology may be pointless. Despite these obstacles, I defend ideology critique as a viable and beneficial method. Barrier (5) is the only obstacle that I think has the potential to deliver a death blow to ideology critique in the foreseeable future.
"
59,"Racialisation is a Marxist concept that has been utilised to understand racism patterns and reproduction in Western societies for more than three decades. In Marxist parlance, racialisation is the ideological process through which the state racialised a section of the population (ethnic minorities) for political purposes. The centrality of the state in racialisation discourse has inhibited the class basis that underpins racialisation. This article articulates the class analysis of racialisation, positing that racialisation stems from racism ideology that the Western ruling class utilised to divide the people along the ethnic line as a means of preserving and maintaining ruling class influence and prestige in society and protecting the capitalist system from being challenged by the unity of the people along the class line. Racialisation is utilised to reproduce racism, using media, laws, regulations and institutional practices to entrench division and disunity in society and preserve their control system under capitalism. In discussing the future of racism, this article critiques the current anti-racism campaign/movement founded and rooted in race discourse and race consciousness and argues that a shift from race consciousness to racialised consciousness is pivotal towards deconstruction and eradicating all vestiges of racism in the global society. The article concludes that racialised consciousness would act as a political unifier in anti-racism campaigns and connects the struggles of Black working and middle class with that of the White working and middle class in terms of collaboration and solidarity, to collectively challenge the capitalist system that is responsible for oppression, inequality and racism on class lines.
"
60,"While tensions over historical issues between Japan and South Korea have long served to impede US strategic goals in East Asia, mainstream International Relations theory has largely been unable to explain the stubborn persistence of such issues. Instead, I interpret East Asias post-war history through the lens of Gramscis concept of passive revolution, thereby situating the history problem in the context of the dialectical relations between state (re)formation, geopolitical contestation and transnational capital accumulation in the post-war era. I argue that US intervention in 1945 was a process in which a set of statesociety relations was established whereby democratising tendencies from below were repressed through the establishment of US-aligned capitalist regimes. This implied the partial restoration of certain aspects of the pre-1945 regimes in a manner that served to forestall any genuine coming to terms with past colonial history. Gramscis concept of passive revolution thus provides a framework for rethinking how bilateral relations between countries can be explained with reference to the broader dynamics of geopolitical contestation, transnational capital accumulation and the dynamics of statesociety contestation within national social formations. While existing empirical applications of passive revolution have typically focused on particular national instances of state formation and transformation, I argue that the concept can be utilised to analyse the region-wide processes whereby the US empire was established in the aftermath of the Second World War, and by extension, how supranational processes of passive revolution subsequently generated their own tensions and contradictions as manifested in contested bilateral relations between states.
"
61,"This article brings in the concept of the neoliberal model of development as a corrective to the prevailing emphasis in the literature that usefully describes neoliberalism as a nationally diverging phenomenon but does not adequately examine the mid-range trans-national/global regulatory connection or the logics of national convergence. By extending the concept of regulation and specifying the national trans-national connection, this article revises the original Parisian French Regulation School conception of a model of development and makes it applicable to the contemporary neoliberal era. It then applies this revised conception to help explain contemporary patterns of national convergence and divergence. In particular, with reference to Marxs theory of the relative surplus population, this article explores capitalisms uneven development as a form of national variation intensified by the neoliberal model of development. This revisionist analysis of model of development also demonstrates how its praxis dimension is significant for explaining past and present mid-range variations of capitalism, and more importantly for making a mid-range counter-hegemonic future.
"
62,"Drawing on a Gramscian Regulation Approach and Harveys accumulation by dispossession thesis, this article discusses the structural and hegemonic mechanisms of the neoliberal transformation of Swedens welfare sectors. Providing new longitudinal data on welfare retrenchment, corporate governance, wealth shares, and private economic power, the article further analyzes how the transformation of the Swedish post-war universal welfare model is related to class struggle and accumulation regime change in the Swedish economy. Following a decade-long countermobilization of Swedish capital and a severe economic crisis in the early 1990s, neoliberal economic common sense was cemented among social democratic policy elites that manifested itself in an institutionalized austerity polity, leading to a slow but steady dismantling of the Swedish welfare project. Roughly a fifth of employees in the three largest welfare sectors work in private welfare companies that generate tax-financed profits on politically created welfare markets. Welfare profits are in turn defended by a welfareindustrial complex and undergirded by a hegemonic bloc consisting of capital elites and sympathetic policymakers. In the virtual absence of vocal antihegemonic forces, many social democratic leaders have limited criticism against welfare profits throughout the last decades. On the contrary, austerity measures practiced by Swedish social democrats have thereto led to deteriorating social cohesion and spawned distrust among core social democratic voters.
"
63,"Inequality has been increasing for decades in both rich and developing countries and the academic literature addressing it struggles to provide explanations, let alone solutions. This article is concerned with a relatively underexplored area, the relationship between macro-level inequality and organizational inequality. The core focus of the article is the recognition that the two phenomena are closely bound up one with the other. This is made possible by adopting Rousseaus notion of inequality as hierarchy and willingness to accept subordination to authority and disparity of treatment. In doing so, we highlight similarities and dissimilarities between Rousseau and Marx. Inequality remains an issue of hierarchy at both the macro and organizational levels. As it was for Rousseau, so it is today but it is much more layered than in Rousseaus day: inequality in society is the accepted degree of hierarchy among its members, inequality in the economy and at work is the extent to which, accepted or not, there is an imbalance of power, financial resources, remuneration of work and access to opportunities and services. The increase in inequality is due to a radical change in the socio-economic model of advanced economies. This change involves a shift towards financialization, a pressure on labour through flexibility, the decline of trade unions power and the retrenchment of public social spending.
"
64,"Social supply plays a key role in bottom level cannabis markets. In outlining how social supply of cannabis differs from commercial market exchange, existing studies have argued that social supply is typically driven by two cultural logics: reciprocal gift-giving and sharing. Importantly, researchers have depicted sharing as a sub-version of a more generalized pattern of reciprocation and/or described sharing as a type of transfer that is motivated by altruism on the part of the giver. However, in this article, we argue that if we are to develop a more nuanced understanding of the sharing aspects of social supply, we need a more refined understanding of sharing. Based on interviews with 38 young cannabis users from Denmark, this article draws on recent anthropological theories of sharing and the concept of demand sharing in demonstrating how social cannabis supply is driven both by reciprocal logics, but also by hitherto overlooked sharing logics that cannot easily be captured by the categories reciprocity or altruism. More specifically, we analyze the important role played by receivers in facilitating sharing processes. We outline how diverse receiver demands are often the precondition for creating the social pressure that leads those who have, to allow others to take. In this way, this article contributes to a more detailed understanding of the complex transfer processes fueling social supply of illicit drugs.
"
65,"Traditional news media can both reflect and shape public perceptions, including expectations relating to alcohol and parenting. This paper examines representations of parents in Australian news media reporting on youth drinking to understand how parental standards related to alcohol are constructed and articulated. 150 news articles were sampled from a larger study of youth drinking, in which we identified four representations of parentsparents as to blame, good parents, parents as lost and parents as victims. These four representations of parents reflect dominant neoliberal ways of governing, which promote parental education, best practice standards and responsibility as solutions to concerns around youth drinking. We examine the way politicians, research findings and legal directives (most commonly secondary supply laws) were deployed to attribute parental responsibility and standards of care. While parents as to blame or as irresponsible was concretely established in the articles, good parents were far more elusive and strategically individualized in ways that abdicated responsibility from the state, industry and structural burdens. As such, while media representations were able to define and moralize bad parents and parenting practices when it came to youth drinking, what it meant to be a good parent was often an ambiguous ideal. We suggest these media representations contribute to intensive parenting standards by providing another platform in which parental behaviors can be publicly scrutinized and moralized.
"
66,"Historically, overpolicing of some racialized and Indigenous groups in Canada has resulted in unequal application of drug laws contributing to disproportionate rates of charges and convictions in these populations. Criminal records severely and negatively impact an individuals life and can perpetuate cycles of poverty and socioeconomic disadvantage. On October 17, 2018, Canada legalized cannabis production, distribution, sale, and possession for non-medical purposes. Advocates of criminal justice reform have raised concerns that Indigenous and racialized people may not equitably benefit from legalization due to unequal police surveillance and drug enforcement. These groups are among priority populations for research on cannabis and mental health, but their views on cannabis regulation have been largely absent from research and policy-making. To address this gap, we asked self-identified members of these communities about their lived experiences and perspectives on cannabis legalization in Canada. Between September 2018 and July 2019, we conducted semistructured interviews and focus groups with 37 individuals in Qu̩bec, Ontario, Alberta and British Columbia. During this phase of early cannabis legalization, participants responded to questions about anticipated public health risks and benefits of legalization, how their jurisdiction is responding to legalization, and what community resources would be needed to address legalization impacts. We conducted a thematic analysis and identified five major themes in the data related to race and early cannabis legalization: overpolicing of racialized communities, severity of penalties in new cannabis legislation, increased police powers, and underrepresentation of racialized groups in the legal cannabis market and in cannabis research. Participants discussed opportunities to support cannabis justice, including establishing priority licenses, issuing pardons or expunging criminal records, and reinvesting cannabis revenue into impacted communities. This work begins to address the paucity of Indigenous and racialized voices in cannabis research and identifies potential solutions to injustices of cannabis prohibition.
"
67,"Despite its strengths, drug policy scholarship in the United States has deficiencies and systemic biases that contribute to misinformation about drugs and people who use drugs. Factors ranging from funders biases to an overemphasis on abstinence-only outcomes limit the scope and focus of drug policy research. These deficiencies and the highly politicized nature of drug policy reform have led U.S. decision-makers to largely reproduce the uninformed thinking that epitomizes failed drug policies. In an effort to address some of these limitations, we designed Unbounded Knowledge: Envisioning a New Future for Drug Policy Research, a project to engage researchers in thinking about how U.S. drug policy research should be transformed. The project involved a diverse group of multidisciplinary drug researchers and clinicians in a focused collaboration to identify what drug research should bebut is notstudying in the U.S. It consisted of: (1) a preliminary series of interviews with researchers, (2) identification of common research constraints and factors that would transform the direction of drug policy research in the U.S., and (3) a daylong workshop to craft an aspirational research agenda. Participants were broadly in consensus that significant changes are needed to create different ways to conduct drug policy research and new opportunities within the research environment. They also generated specific ideas for research that could better shape U.S. drug policies in ways that move beyond the dominant focus on criminalization and medicalization. This article offers recommendations generated by the project for improving drug policy research in the U.S.
"
68,"The article aims to make understandable a significant change that has taken place in the adolescent drinking habits: throughout the world, the teens are drinking much less than previous generations. Previous research has approached this phenomenon through survey research methodology, trying to identify the variables that correlate with individuals alcohol consumption level, thereby explaining the phenomenon. The impact of social media use on drinking habits has been identified as one possible explanation, but the results have been contradictory. The article hypothesizes that the rise of social media created an institutional change in young peoples conditions for and patterns of socializing. Using qualitative interviews with Finnish teenagers as empirical data, the article concludes that since socializing with peers and initiating romantic relationships takes place primarily in virtual contexts, there are less occasions in which alcohol would serve as a social lubricant. Consequently, compared with previous generations, alcoholic beverages play a smaller role in young peoples lives. The current living conditions molded by the social media concern everyone, which is why individual-level correlations between social media use and alcohol consumption level do not capture the aggregate effect that the changed living conditions have brought about.
"
69,"Some personal experience of illicit drug use undoubtedly exists within the population of academic drug researchers. But it is rarely acknowledged, and even more rarely reflected upon, in their published work. This is understandable: criminal, professional and social sanctions may follow public admission of illicit activities. However, to not come out seems contrary to some core academic principles, such as transparency in data collection and reflexivity in the research process. Coming out may present researchers with an opportunity for improving knowledge of, and policies toward, drug use. In this article, we identify reasons for and against the public disclosure of drug use and the impact of such disclosure across a range of spheres, including research, teaching, policy influence and private lives. Reasons against coming out include the risks of undermining professional reputations and hence the ability to contribute to academic and policy debates, the threat of criminal justice sanctions, and impacts on loved ones. However, coming out can have academic benefit (i.e., improving our understanding of drugs, of people who use drugs, and of drug research) and contribute to activist goals (e.g., de-stigmatization of drug use and demarginalization of people who use drugs). Both the risks and benefits of public drug use disclosure have implications for how research and researchers may influence drug policy. Two key themes, stigma and reflexivity, underpin the discussion. We do not conclude with clear recommendations for drug-using drug researchers; to come out or to not come out is a personal decision. However, we argue that there is clear merit to further open discussion on the role of disclosure and reflection on personal drug use experience among those working in drug research and drug policywhere such reflection is relevant and where such researchers feel able to do so.
"
70,"Safe injection sites are spaces where people who inject drugs can do so under the supervision of staff at the sites who attempt to revive them if they overdose. Public officials in Philadelphia, Pennsylvania, have proposed the sites as a means to reduce opioid overdose deaths in the city, a policy proposal that has been politically and legally contested. This article uses the Narrative Politics model to elucidate the concerns, values, and aspirations of the competing narratives in the public discourse over safe injection sites in Philadelphia. Despite the aspirations expressed within the Harm Reduction narrative to open such a site, opposition from the Nimby (not in my backyard) narrative has, at the time of this research, successfully precluded such a step. Other narratives in the discourse include the Abstinence narrative opposing safe injection sites and the Social Justice narrative opposed to incarceration but also hesitant to wholeheartedly endorse the Harm Reduction narrative for its delayed advocacy of compassionate treatment of people who use drugs now that the face of the person who uses opioids is a white one. In addition to juxtaposing competing narratives against one another and considering their alignments, disagreements, and interactions, the authors consider absences and shared presuppositions. The social construction of the purported drug addict varies in some ways between and among the prevailing narratives; in other ways, all the narratives problematize addiction as an affliction that justifies techniques of discipline aimed at caring for and controlling the population.
"
71,"Historically, overpolicing of some racialized and Indigenous groups in Canada has resulted in unequal application of drug laws contributing to disproportionate rates of charges and convictions in these populations. Criminal records severely and negatively impact an individuals life and can perpetuate cycles of poverty and socioeconomic disadvantage. On October 17, 2018, Canada legalized cannabis production, distribution, sale, and possession for non-medical purposes. Advocates of criminal justice reform have raised concerns that Indigenous and racialized people may not equitably benefit from legalization due to unequal police surveillance and drug enforcement. These groups are among priority populations for research on cannabis and mental health, but their views on cannabis regulation have been largely absent from research and policy-making. To address this gap, we asked self-identified members of these communities about their lived experiences and perspectives on cannabis legalization in Canada. Between September 2018 and July 2019, we conducted semistructured interviews and focus groups with 37 individuals in Qu̩bec, Ontario, Alberta and British Columbia. During this phase of early cannabis legalization, participants responded to questions about anticipated public health risks and benefits of legalization, how their jurisdiction is responding to legalization, and what community resources would be needed to address legalization impacts. We conducted a thematic analysis and identified five major themes in the data related to race and early cannabis legalization: overpolicing of racialized communities, severity of penalties in new cannabis legislation, increased police powers, and underrepresentation of racialized groups in the legal cannabis market and in cannabis research. Participants discussed opportunities to support cannabis justice, including establishing priority licenses, issuing pardons or expunging criminal records, and reinvesting cannabis revenue into impacted communities. This work begins to address the paucity of Indigenous and racialized voices in cannabis research and identifies potential solutions to injustices of cannabis prohibition.
"
72,"We study the implications of mixing economics and personal finance standards in a high school course. Using administrative, survey, and testing data on college students, we find that learning personal finance can help the learning of economics for some students but hurt it for others. We estimate that students who received more instruction in economics score almost 5 percentage points higher on our economics test. Furthermore, we estimate the effect of being assigned a certification test in personal finance as a part of this course. Taking the personal finance certification test increases economics test scores by 2.5 percentage points for the average student, but this effect is not uniform across students. The certification test significantly increases the economics scores of students with low SAT scores, while decreasing the economics scores of those with high SAT scores. Our results emphasize the potentially idiosyncratic effects of mixing economics with personal finance.
"
73,"Corporate Social Responsibility (CSR), the idea that business stewards have a broader range of societal obligations than maximizing shareholder value, is a mainstream theme in contemporary management research, education, and practice. Carroll points to one of its controversial aspects when he describes a clash between management scholars (who are generally pro-CSR) and their neoclassical economic contrarians. This has become an increasingly one-sided conflict with the pro-CSR side prevailing in both business and academia. CSR proponents have generally viewed Milton Friedman as an opponent of CSR. However, we argue that Friedmans purported opposition to CSR is something of a caricature. We reveal that Friedman was concerned that his advocacy for free market operation would promote pro-social outcomes. Indeed, through his emphasis on creating value for consumers, being good stewards of scarce resources, and avoiding rent-seekings inefficiencies, Friedman has more in common with CSR proponents than is sometimes acknowledged.
"
74,"Economic education has emerged as an important subfield in economics over the last several decades. This paper explores the author gender breakdown found in economic education journals compared to top-tier, general-interest economics journals and some field journals. We find that from 2009 to 2019, the percentage of articles published by women in general interest and selected field journals has remained relatively constant, while female publications in economic education journals have grown to match the percentage of women in the discipline.
"
75,"In this short paper, we share our experiences serving as editors, associate editors, and on editorial boards over the past two decades. Our goal is to provide insights regarding successful publishing from the perspective of those reviewing manuscripts. Our suggestions and tips are by no means comprehensive or definitive and other editors may not agree with our advice. However, we hope these tips are useful guidance toward navigating the often challenging and disheartening journey of moving ones research through the publication process.
"
76,"This study examines the structure and formula for revenue allocation in Nigeria which has been fraught with challenges, proffers solution, and highlights its implications for sustainable national development. The work uses the methodology of Group Unit Root Test, auto regressive distributed lag (ARDL) Bounds Testing and Cointegrating Long Run tests for robust policy recommendations. Using the Gross Domestic Product as the dependent variable and revenue allocation to the three levels of government, and oil revenue as the independent variables, the results from the study show that revenue allocations and the other variables have significant relationship with economic growth in Nigeria. Based on our findings, the study recommends among others that the current revenue allocation formula should be reviewed to embrace autonomy in its entirety to achieve national goals and objectives. Various levels of government should be adequately funded to enable it carry out its expenditure responsibilities to accelerate grass root development.
"
77,"Past fears that robots and computers would cause large increases in secular unemployment have proven unfounded. Some well-respected economists and other technology and labor analysts are worried again. Advances in algorithms have proven impressive, but experts on the mind and neuroscience remain skeptical about the extent to which robots and computers will be able to duplicate or surpass humans in areas of insight, judgment, and creativity. Certainly, for the foreseeable future, robots and computers will be more complements to human labor, than they will be substitutes for human labor, enhancing us more than replacing us. If we use the precautionary principle to justify heavy regulation of robots and computers, the benefits of enhancement will be fewer and will be delayed.
"
78,"This study examined how weekly, externally set deadlines affected the completion of adaptive learning assignments and student outcomes in an introductory macroeconomics course. We imposed different deadline schemes for the same adaptive learning assignments in two sections of the course. One section was given flexible deadlines and the other section was given rigid weekly deadlines. We found that weekly deadlines did not affect assignment completions or total points earned on unit exams. We investigated how the adaptive learning assignments affected student retention of material. A measure of staying on pace in the course provided a positive effect on the comprehensive final exam for students with weekly deadlines. The weekly deadlines may not have influenced assignment completions but consistent engagement with the flow of topics through the course increased student knowledge retention. Regardless of deadline type, completions of adaptive learning assignments positively affected outcomes on the unit exams and final exam.
"
79,"Keynes argued that the central bank can influence the long-term interest rate on government bonds and the shape of the yield curve mainly through the short-term interest rate. Several recent empirical studies that examine the dynamics of government bond yields not only substantiate Keyness view that the long-term interest rate responds markedly to the short-term interest rate but also have relevance for macroeconomic theory and policy. This article relates Keyness discussions of money, the state theory of money, financial markets, investors expectations, uncertainty, and liquidity preference to the dynamics of government bond yields for countries with monetary sovereignty. Investors psychology, herding behavior in financial markets, and uncertainty about the future reinforce the effects of the short-term interest rate and the central banks monetary policy actions on the long-term interest rate.
"
80,"In this short paper, we share our experiences serving as editors, associate editors, and on editorial boards over the past two decades. Our goal is to provide insights regarding successful publishing from the perspective of those reviewing manuscripts. Our suggestions and tips are by no means comprehensive or definitive and other editors may not agree with our advice. However, we hope these tips are useful guidance toward navigating the often challenging and disheartening journey of moving ones research through the publication process.
"
81,"Funds-based mechanisms for urban adaptation finance are still underexplored. Addressing this gap, as well as the need for greater learning about how urban adaptation finance operates, this paper proposes a conceptual framework for such analysis that considers complexity, uncertainty, transformation and vulnerability. We analyse 39 urban projects financed by Climate Adaptation Funds (CAFs) using a qualitative approach. The findings indicate the ongoing dominance of national governments at all stages of the funding cycle, and of a focus on hard adaptation measures, but also a diverse set of stakeholder relationships involved in CAF finance which offers potential for greater multi-stakeholder and multisectoral management of complexity. Few projects, however, address the management of uncertainty. While upscaling from projects is a common preoccupation, catalysing effects across sectors are limited, and transformative mechanisms for addressing vulnerability are limited to consultation with vulnerable groups. Innovations are highlighted which merit further exploration through case study analysis.
"
82,"Despite varying conceptions of what co-production entails, there is a growing consensus in research, practice and public policy discourse that co-production is a preferred strategy for leveraging resources to deliver basic infrastructure services in low-income settlements. Using largely qualitative data, this paper explores the adaption of co-production in the low-income settlement of Hanna Nassif in Dar es Salaam, implemented 20 years ago by state actors, international agencies and grassroots actors, with attention to basic infrastructure and local employment. The findings reveal that co-production engendered partnerships and platforms and transformed sociocultural norms and values that made inroads toward urban equality in the settlement, although it failed to address inequalities among the partners, or to be replicated subsequently. The paper argues that meaningful co-production of basic infrastructure services in low-income settlements of the global South requires a focus on the context-specific pro-poor concerns and priorities.
"
83,"This paper reflects on the ethics of research and knowledge co-production aimed at addressing urban inequality. It draws on work within the Knowledge in Action for Urban Equality (KNOW) programme, which aimed to co-produce knowledge to activate transformation. We employ a lens of feminist care ethics to examine ethical challenges in research partnerships, which derive from interrelated layers of power asymmetry and inequality. We focus on ethical dilemmas that emerged during the planning stage of research work led by the NGO Centre for Community Initiatives (CCI), Tanzania, in collaboration with University College Londons Institute of Global Prosperity (IGP). We argue that contextualizing the value of knowledge co-production in generating transformation in the long term reveals a necessity for simultaneously addressing the immediate needs of intersectionally marginalized research participants. We suggest that ethical awareness of both long- and short-term modes of caring for could better support initiatives for addressing urban inequalities in context.
"
